AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
33.070.09,Yucca schidigera – Viguiera parishii,,Association,
33.070.10,Yucca schidigera – Larrea tridentata – Simmondsia chinensis,,Association,
33.070.11,Yucca schidigera – Larrea tridentata – Agave deserti,,Association,
33.070.12,Yucca schidigera / Pleuraphis rigida,,Association,
33.075.01,Agave deserti – Ambrosia salsola (wash and terrace),,Association,
33.075.02,Agave deserti – Yucca schidigera,,Association,
33.080.01,Nolina parryi,,Association,
33.080.02,Nolina bigelovii,,Association,
33.140.04,Larrea tridentata,,Association,
33.140.07,Larrea tridentata – Ambrosia dumosa – Psorothamnus schottii,,Association,
33.140.08,Larrea tridentata – Ambrosia dumosa – Psorothamnus emoryi – sandy,,Association,
33.140.09,Larrea tridentata – Ambrosia dumosa – Atriplex hymenelytra,,Association,
33.140.10,Larrea tridentata – Ambrosia dumosa – Galium angustifolium – Lyrocarpa coulteri,,Association,
33.140.11,Larrea tridentata – Ambrosia dumosa – Yucca schidigera,,Association,
33.140.12,Larrea tridentata – Ambrosia dumosa – Viguiera parishii,,Association,
33.140.13,Larrea tridentata – Ambrosia dumosa – Senna armata,,Association,
33.140.14,Larrea tridentata – Ambrosia dumosa – Salazaria mexicana,,Association,
33.140.15,Larrea tridentata – Ambrosia dumosa – Psorothamnus arborescens,,Association,
33.140.16,Larrea tridentata – Ambrosia dumosa – Psorothamnus fremontii,,Association,
33.140.17,Larrea tridentata – Ambrosia dumosa / Pleuraphis rigida,,Association,
33.140.18,Larrea tridentata – Ambrosia dumosa – Cylindropuntia ramosissima,,Association,
33.140.19,Larrea tridentata – Ambrosia dumosa – Lycium andersonii,,Association,
33.140.20,Larrea tridentata – Ambrosia dumosa – Ephedra nevadensis,,Association,
33.140.21,Larrea tridentata – Ambrosia dumosa – Lepidium fremontii,,Association,
33.140.22,Larrea tridentata – Ambrosia dumosa – Krameria grayi,,Association,
33.140.23,Larrea tridentata – Ambrosia dumosa – Krameria erecta,,Association,
33.140.24,Larrea tridentata – Ambrosia dumosa – Petalonyx thurberi,,Association,
33.140.25,Larrea tridentata – Ambrosia dumosa – Gutierrezia sarothrae,,Association,
33.140.26,Larrea tridentata – Ambrosia dumosa – Grayia spinosa,,Association,
33.140.27,Larrea tridentata – Ambrosia dumosa – Eriogonum inflatum,,Association,
33.140.28,Larrea tridentata – Ambrosia dumosa – Eriogonum fasciculatum,,Association,
33.140.29,Larrea tridentata – Ambrosia dumosa – Ephedra funerea,,Association,
33.140.30,Larrea tridentata – Ambrosia dumosa – Ephedra californica,,Association,
33.140.31,Larrea tridentata – Ambrosia dumosa – Encelia virginensis,,Association,
33.140.32,Larrea tridentata – Ambrosia dumosa – Encelia farinosa,,Association,
33.140.33,Larrea tridentata – Ambrosia dumosa – Echinocactus polycephalus,,Association,
33.140.34,Larrea tridentata – Ambrosia dumosa / Dalea mollissima,,Association,
33.140.35,Larrea tridentata – Ambrosia dumosa / Cryptogamic crust,,Association,
33.140.36,Larrea tridentata – Ambrosia dumosa – Bebbia juncea,,Association,
33.140.37,Larrea tridentata – Ambrosia dumosa – Atriplex canescens,,Association,
33.140.38,Larrea tridentata – Ambrosia dumosa – Atriplex polycarpa,,Association,
33.140.39,Larrea tridentata – Ambrosia dumosa – Atriplex confertifolia,,Association,
33.140.40,Larrea tridentata – Ambrosia dumosa – Amphipappus fremontii,,Association,
33.140.41,Larrea tridentata – Ambrosia dumosa – Fagonia laevis,,Association,
33.140.42,Larrea tridentata – Ambrosia dumosa,,Association,
33.140.43,Larrea tridentata – Ambrosia dumosa – Opuntia basilaris,Provisional,Association,
33.140.44,Larrea tridentata – Ambrosia dumosa – Fouquieria splendens,,Association,
33.140.45,Larrea tridentata – Ambrosia dumosa – Atriplex confertifolia – Psorothamnus arborescens,,Association,
33.140.46,Larrea tridentata – Ambrosia dumosa – Cylindropuntia acanthocarpa,Provisional,Association,
33.140.47,Larrea tridentata – Ambrosia dumosa – Ephedra viridis,Provisional,Association,
